Module,Title,Type,Link
Dermatologie,ITEM 183 - HYPERSENSIBILITE-ALLERGIE CUTANEE,PDF,https://drive.google.com/file/d/1rYJMfR8Kqd2p4BkQ35MK5diC_qAywQus/view?usp=drivesdk
Dermatologie,TROUBLES DES PHANERES,PDF,https://drive.google.com/file/d/1DOOjK0NOAiBuV8QyVoVDv3gZ-Yrnd1tB/view?usp=drivesdk
Dermatologie,ITEM 167 - ECTOPARASITOSE CUTANEE,PDF,https://drive.google.com/file/d/1V3aZ9WraI7URKaO0eUlt5zHtha-LBKPJ/view?usp=drivesdk
Dermatologie,ULCERATION MUQUEUSE,PDF,https://drive.google.com/file/d/13Pls-Xqh154l6stPBaTC7y-EMf-ArlWr/view?usp=drivesdk
Dermatologie,ITEM 152 - INFECTION CUTANEOMUQUEUSE,PDF,https://drive.google.com/file/d/1ArXOF6U01MTA2GZp97RhNjxlPe6j1f8a/view?usp=drivesdk
Dermatologie,ITEM 322 - TOXIDERMIE MEDICAMENTEUSE,PDF,https://drive.google.com/file/d/1nKUHokOeDiE0lJv2-TA0RGq3NLvAcTP4/view?usp=drivesdk
Dermatologie,ITEM 345 - GROSSE JAMBE ROUGE AIGUE,PDF,https://drive.google.com/file/d/1UeTk23e6kWGbE9yQJXctlOS9xnr0FVxT/view?usp=drivesdk
Dermatologie,ITEM 299 - TUMEUR CUTANEE,PDF,https://drive.google.com/file/d/1aD7X2EZfZ3RZuFqYMI3L01uTYMi7HTjZ/view?usp=drivesdk
Dermatologie,ITEM 113 - PRURIT,PDF,https://drive.google.com/file/d/1LqOGLcTYwxvUX8kh0bqM_ZtH3UBCqh3Y/view?usp=drivesdk
Dermatologie,ITEM 226 - ULCERE DE JAMBE,PDF,https://drive.google.com/file/d/1f_Z4sdFLrRmxKu02-eIA0K4n6ChymgCx/view?usp=drivesdk
Dermatologie,ITEM 316 - LYMPHOME CUTANE,PDF,https://drive.google.com/file/d/1C6kSu9W0oJb2SStT3nLTjLcFyK9BC0VO/view?usp=drivesdk
Dermatologie,ITEM 112 - EXANTHEME-ERYTHRODERMIE,PDF,https://drive.google.com/file/d/1EpWgN0kxKpA5XfKIbC2lwsfmUEJHzHqz/view?usp=drivesdk
Dermatologie,ITEM 160 - EXANTHEME FEBRILE_0,PDF,https://drive.google.com/file/d/1dfre736Hsa_AoRFQbiUn8LwnljxgSJ7L/view?usp=drivesdk
Dermatologie,ITEM 114 - PSORIASIS,PDF,https://drive.google.com/file/d/1vQQfrcqAYA6AyEEiI1Vaz5W7qsAG2RoR/view?usp=drivesdk
Dermatologie,ITEM 111 - HEMANGIOME-MALFORMATION VASCULAIRE,PDF,https://drive.google.com/file/d/1ustMjE6RR44QnQTqR47FtKiHx0UX2qbX/view?usp=drivesdk
Dermatologie,ITEM 109 - DERMATOSE FACIALE,PDF,https://drive.google.com/file/d/1kB04Yf_dTySHmEfcOrhHn8Txh9sErYG-/view?usp=drivesdk
Dermatologie,ITEM 110 - DERMATOSE BULLEUSE AUTOIMMUNE,PDF,https://drive.google.com/file/d/1OjzRCruzTge5A85V0-Pqb5XbWteNkvvb/view?usp=drivesdk
Anesthésie,ITEM 227 - SURVEILLANCE ABORDS VEINEUX,PDF,https://drive.google.com/file/d/1g8ev7OPGHyisPGE1OiN4-MIJC7tUlV4T/view?usp=drivesdk
Anesthésie,ITEM 133 - ANESTHESIE,PDF,https://drive.google.com/file/d/1IqZoGyFhVfwJc_FU-KSrTFqsmqsPI2fq/view?usp=drivesdk
Cancérologie,ITEM 291 - TRAITEMENT CANCER,PDF,https://drive.google.com/file/d/1quK-PzA2yQrROqG3-28_gYa2ljuaODNr/view?usp=drivesdk
Cancérologie,ITEM 289 - DIAGNOSTIC DES CANCERS,PDF,https://drive.google.com/file/d/1LHySYtaxBNZ_4_RcKszGu3bF7U7b6BL0/view?usp=drivesdk
Cancérologie,ITEM 292 - PRISE EN CHARGE CANCEREUX,PDF,https://drive.google.com/file/d/1LjPUrgFagcrwQvB3kRDaSkNjp2AMydUO/view?usp=drivesdk
Cancérologie,ITEM 290 - ANATOMOPATHOLOGIE,PDF,https://drive.google.com/file/d/1vQnaY2oZ_NnhejnCUJTZlEJB7ljhDXfA/view?usp=drivesdk
Cancérologie,ITEM 287 - EPIDEMIO-FDR-PREVENTION-DEPISTAGE,PDF,https://drive.google.com/file/d/1P4mirglG1YkQdu_zOcKlFZmmFAqb-mmT/view?usp=drivesdk
Cancérologie,ITEM 288 - CANCEROGENESE,PDF,https://drive.google.com/file/d/1L3NbVSKpBR_JMz5AP-Vqei-Zi89q1AdE/view?usp=drivesdk
Cardiologie,ITEM 337 - SYNCOPE-LIPOTHYMIE,PDF,https://drive.google.com/file/d/1AJGgsBS9cUMkCFo_rOnoBvtbF0mXRixt/view?usp=drivesdk
Cardiologie,ITEM 228 - DOULEUR THORACIQUE - DISSECTION,PDF,https://drive.google.com/file/d/1TP90pJB07f5ZGp87gpkp7ztjM5DD_VYu/view?usp=drivesdk
Cardiologie,ITEM 234 - TROUBLES DE CONDUCTION,PDF,https://drive.google.com/file/d/17V6pn5paTTUgh5Z-mqgU8Alh3fYT9Ysi/view?usp=drivesdk
Cardiologie,ITEM 236 - SOUFFLE CHEZ LENFANT,PDF,https://drive.google.com/file/d/1gLZwr9J0DCGR7loXrB1BxwWmutZRDD3B/view?usp=drivesdk
Cardiologie,ITEM 334 - SCA,PDF,https://drive.google.com/file/d/1Mhm0-pgu03-zUEEJU--Yx_N4xA8BEh4K/view?usp=drivesdk
Cardiologie,ITEM 232 - INSUFFISANCE CARDIAQUE CHRONIQUE,PDF,https://drive.google.com/file/d/1HytBk6ICJ4IeQaK0h_OTqnR-c1RU5GVH/view?usp=drivesdk
Cardiologie,ITEM 230 - FA,PDF,https://drive.google.com/file/d/1eIDPf9HXYtjMguElxXYtSow9s-yrmrJl/view?usp=drivesdk
Cardiologie,ITEM 334 - ANGOR CHRONIQUE STABLE_V2,PDF,https://drive.google.com/file/d/1gwSsfEDFhFab-6Zf3aeAAYKlFZZwX_Xz/view?usp=drivesdk
Cardiologie,ITEM 225 - INSUFFISANCE VEINEUSE CHRONIQUE,PDF,https://drive.google.com/file/d/1y-jE6jd8l7ysWRbjrPTcCK8sTFTxcC51/view?usp=drivesdk
